Maturity,Moneyness,Weight,AEX,TOPX,IBEX,FTSE
1,1.25,1,0.193,0.2036,0.2235,0.1858
1,1.176470588,1,0.1804,0.1946,0.2148,0.1714
1,1.142857143,1,0.174,0.191,0.2102,0.164
1,1.111111111,1,0.1675,0.1878,0.2056,0.1564
1,1.086956522,1,0.1621,0.1858,0.202,0.1502
1,1.063829787,1,0.1567,0.1841,0.1984,0.1439
1,1.052631579,1,0.154,0.1834,0.1967,0.1408
1,1.041666667,1,0.1514,0.1828,0.195,0.1377
1,1.020408163,1,0.1464,0.1818,0.1917,0.1319
1,1,1,0.1417,0.1812,0.1885,0.1265
1,0.980392157,1,0.1375,0.1809,0.1855,0.1219
1,0.961538462,1,0.1337,0.1809,0.1825,0.118
1,0.952380952,1,0.1321,0.181,0.1811,0.1164
1,0.943396226,1,0.1307,0.1811,0.1798,0.115
1,0.925925926,1,0.1283,0.1815,0.1772,0.1127
1,0.909090909,1,0.1263,0.182,0.1748,0.1109
1,0.888888889,1,0.1243,0.1828,0.1721,0.1093
1,0.869565217,1,0.1227,0.1836,0.1698,0.1085
1,0.833333333,1,0.1212,0.1856,0.1654,0.11
