SX5E Index,,TPX Index,,UKX Index,,IBEX Index,,SPX Index,,LBEATREU Index,,AEX Index,,INGEHIH LX Equity,,INGGOPC LX Equity,,INGEHYC LX Equity,,SGEURSE LX Equity,,SGIDXIW LX Equity,
,,,,,,,,,,,,,,,,,,,,,,,
41785,3240.39,41785,1194.69,41782,6815.75,41785,10687.5,41782,1900.53,41782,222.8718,41785,406.88,41785,7824.08,41782,328.25,41785,458.62,41785,1115.05298,41652,1356.46
41782,3203.28,41782,1180.44,41781,6820.56,41782,10558.9,41781,1892.49,41781,222.6174,41782,405.14,41782,7819.27,41781,326.98,41782,451.92,41782,1101.90796,41649,1373.54
41781,3187.63,41781,1169.34,41780,6821.04,41781,10520.6,41780,1888.03,41780,222.4715,41781,404.14,41781,7817.37,41780,325,41781,447.67,41781,1096.07605,41648,1370.41
41780,3187.08,41780,1150.05,41779,6802,41780,10531.4,41779,1872.83,41779,222.4663,41780,402.9,41780,7821.05,41779,322.88,41780,445.58,41780,1094.46204,41647,1369.45
41779,3163.93,41779,1153.38,41778,6844.55,41779,10453.8,41778,1885.08,41778,222.976,41779,400.8,41779,7830.48,41778,323.9,41779,443.02,41779,1087.92896,41646,1371.03
41778,3169.9,41778,1150.07,41775,6855.81,41778,10425.5,41775,1877.86,41775,223.2353,41778,401.04,41778,7834.12,41775,323.64,41778,442.52,41778,1087.922,41645,1362.78
41775,3172.72,41775,1159.07,41774,6840.89,41775,10478.7,41774,1870.85,41774,223.3836,41775,399.56,41775,7832.08,41774,322.77,41775,441.93,41775,1085.13696,41642,1366.18
41774,3163.22,41774,1178.29,41773,6878.49,41774,10365,41773,1888.53,41773,223.3796,41774,400.25,41774,7840.44,41773,324.57,41774,441.21,41774,1083.61804,41641,1366.69
41773,3210.42,41773,1183.15,41772,6873.08,41773,10613.9,41772,1897.45,41772,222.8721,41773,403.33,41773,7841.68,41772,324.36,41773,448.11,41773,1100.00098,41639,1378.94
41772,3211.78,41772,1178.35,41771,6851.75,41772,10587.2,41771,1896.65,41771,222.3919,41772,404.65,41772,7839.64,41771,322.12,41772,449.05,41772,1101.10901,41638,1373.44
41771,3206.97,41771,1157.91,41768,6814.57,41771,10567,41768,1878.48,41768,222.5041,41771,403.78,41771,7830.41,41768,319.83,41771,449.87,41771,1099.51196,41635,1373.78
41768,3184.09,41768,1165.51,41767,6839.25,41768,10487.2,41767,1875.63,41767,222.5829,41768,401.93,41768,7822.85,41767,317.27,41768,447.44,41768,1089.84204,41631,1363.64
41767,3204.3,41767,1160.01,41766,6796.44,41767,10591.2,41766,1878.21,41766,222.0059,41767,402.98,41767,7880.89,41766,315.72,41767,450.29,41767,1095.48999,41628,1356.37
