,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,,,
Date,SX5E Index,,,SPX Index,,,TPX Index,,,AEX Index,,,IBEX Index,,,UKX Index,,,USDEUR Curncy,,,JPYEUR Curncy,,,GBPEUR Curncy,,,LBEATREU Index,,,,INGEHIH LX Equity
1-Jan-11,2792.82,,1/1/2011,1257.64,,1/1/2011,898.8,,1/1/2011,354.57,,1/1/2011,9859.1,,1/1/2011,5899.94,,1/1/2011,0.748,,1/1/2011,0.92141,,1/1/2011,1.1665,,1/1/2011,181.6496,#REF!,,,7824.08
2-Jan-11,2792.82,,1/2/2011,1257.64,,1/2/2011,898.8,,1/2/2011,354.57,,1/2/2011,9859.1,,1/2/2011,5899.94,,1/2/2011,0.748,,1/2/2011,0.92141,,1/2/2011,1.1665,,1/2/2011,181.6496,0,,,7819.27
3-Jan-11,2839.43,,1/3/2011,1271.87,,1/3/2011,898.8,,1/3/2011,359.86,,1/3/2011,9888.3,,1/3/2011,5899.94,,1/3/2011,0.7476,,1/3/2011,0.91679,,1/3/2011,1.1585,,1/3/2011,182.2078,0.003068237,,,7817.37
4-Jan-11,2844.17,,1/4/2011,1270.2,,1/4/2011,911.8,,1/4/2011,358.86,,1/4/2011,9888.4,,1/4/2011,6013.87,,1/4/2011,0.7511,,1/4/2011,0.9181,,1/4/2011,1.1709,,1/4/2011,182.5373,0.001806742,,,7821.05
5-Jan-11,2833.74,,1/5/2011,1276.56,,1/5/2011,911.69,,1/5/2011,357.28,,1/5/2011,9801.4,,1/5/2011,6043.86,,1/5/2011,0.7584,,1/5/2011,0.91122,,1/5/2011,1.1755,,1/5/2011,182.0163,-0.002858292,,,7830.48
6-Jan-11,2836.23,,1/6/2011,1273.85,,1/6/2011,924.51,,1/6/2011,356.89,,1/6/2011,9702.7,,1/6/2011,6019.51,,1/6/2011,0.7675,,1/6/2011,0.92314,,1/6/2011,1.1894,,1/6/2011,181.7299,-0.001574725,,,7834.12
7-Jan-11,2808.25,,1/7/2011,1271.5,,1/7/2011,926.42,,1/7/2011,356.44,,1/7/2011,9560.7,,1/7/2011,5984.33,,1/7/2011,0.7736,,1/7/2011,0.93272,,1/7/2011,1.2028,,1/7/2011,181.8112,0.000447267,,,7832.08
8-Jan-11,2808.25,,1/8/2011,1271.5,,1/8/2011,926.42,,1/8/2011,356.44,,1/8/2011,9560.7,,1/8/2011,5984.33,,1/8/2011,0.7736,,1/8/2011,0.93272,,1/8/2011,1.2028,,1/8/2011,181.8112,0,,,7840.44
9-Jan-11,2808.25,,1/9/2011,1271.5,,1/9/2011,926.42,,1/9/2011,356.44,,1/9/2011,9560.7,,1/9/2011,5984.33,,1/9/2011,0.7736,,1/9/2011,0.93272,,1/9/2011,1.2028,,1/9/2011,181.8112,0,,,7841.68
10-Jan-11,2760.88,,1/10/2011,1269.75,,1/10/2011,926.42,,1/10/2011,354.21,,1/10/2011,9437.8,,1/10/2011,5956.3,,1/10/2011,0.7727,,1/10/2011,0.93386,,1/10/2011,1.2033,,1/10/2011,181.7581,-0.000292104,,,7839.64
11-Jan-11,2796.6,,1/11/2011,1274.48,,1/11/2011,926.94,,1/11/2011,358.3,,1/11/2011,9582.1,,1/11/2011,6014.03,,1/11/2011,0.7708,,1/11/2011,0.92508,,1/11/2011,1.2042,,1/11/2011,181.6014,-0.000862507,,,7830.41
12-Jan-11,2879.11,,1/12/2011,1285.96,,1/12/2011,929.64,,1/12/2011,362.41,,1/12/2011,10101.2,,1/12/2011,6050.72,,1/12/2011,0.7643,,1/12/2011,0.91913,,1/12/2011,1.2034,,1/12/2011,181.1282,-0.002609108,,,7822.85
13-Jan-11,2915.62,,1/13/2011,1283.76,,1/13/2011,937.74,,1/13/2011,360.79,,1/13/2011,10370.8,,1/13/2011,6023.88,,1/13/2011,0.7486,,1/13/2011,0.9052,,1/13/2011,1.1876,,1/13/2011,181.2886,0.000885169,,,7880.89
14-Jan-11,2920.4,,1/14/2011,1293.24,,1/14/2011,930.31,,1/14/2011,361.32,,1/14/2011,10385.1,,1/14/2011,6002.07,,1/14/2011,0.7492,,1/14/2011,0.90323,,1/14/2011,1.1898,,1/14/2011,181.3754,0.00047868,,,7806.04
15-Jan-11,2920.4,,1/15/2011,1293.24,,1/15/2011,930.31,,1/15/2011,361.32,,1/15/2011,10385.1,,1/15/2011,6002.07,,1/15/2011,0.7492,,1/15/2011,0.90323,,1/15/2011,1.1898,,1/15/2011,181.3754,0,,,7804.44
