Maturity,EUR-SWAP,JPY-SWAP,USD-SWAP,GBP-SWAP
1,0.003041629,0.000564734,0.001267355,0.004749907
30,0.002514183,0.000894976,0.001622114,0.005018961
90,0.002844652,0.001308949,0.002412333,0.005138407
180,0.003828178,0.001807222,0.002269554,0.007187166
365,0.003495873,0.001844389,0.00489221,0.00794093
730,0.003713338,0.001891451,0.005046869,0.011012903
1095,0.004593255,0.002115581,0.008921713,0.014566312
1460,0.005971154,0.002513393,0.012779345,0.017512903
1825,0.007614186,0.003114469,0.016176842,0.019830555
2190,0.009370079,0.003841359,0.019006449,0.02171848
2555,0.011141874,0.004699736,0.021369083,0.023305573
2920,0.012829735,0.005590117,0.023329353,0.024686496
3285,0.014381564,0.006532633,0.024974867,0.02587092
3650,0.015800733,0.007490519,0.026404263,0.02691795
4015,0.017075146,0.008467689,0.027551557,0.02778857
4380,0.018200538,0.00945495,0.028718679,0.02867373
4745,0.019200666,0.010376729,0.029266886,0.029209896
5110,0.020046966,0.011334349,0.030151932,0.029878783
5475,0.020742136,0.012304762,0.031059293,0.030563305
5840,0.021287476,0.012908222,0.031126287,0.030768138
6205,0.021741912,0.013641899,0.031629113,0.031140976
6570,0.022118129,0.014385943,0.032146014,0.031524026
6935,0.02242614,0.015141377,0.032677767,0.031917525
7300,0.022672819,0.015909251,0.033224556,0.032321482
7665,0.022863361,0.016277558,0.033395121,0.032420673
8030,0.023006803,0.016638782,0.03356255,0.03251651
8395,0.023113228,0.017005717,0.033738426,0.032618278
8760,0.023191007,0.017378549,0.033922411,0.032725622
9125,0.023247177,0.017757497,0.034114263,0.032838257
9490,0.023276549,0.017953691,0.034175197,0.032854197
9855,0.023280013,0.018148517,0.034238318,0.032871374
10220,0.023270226,0.018347176,0.034306954,0.032892228
10585,0.023258745,0.018549662,0.03438087,0.032916528
10950,0.023255523,0.018755977,0.034459796,0.032944033
11315,0.023324638,0.018976865,0.034551293,0.032879926
11680,0.023464079,0.019210474,0.03465418,0.032815049
12045,0.023655718,0.01945184,0.034765017,0.03275229
12410,0.023885603,0.019697158,0.034881116,0.032691387
12775,0.024142958,0.01994352,0.035000385,0.032632192
13140,0.024419434,0.020188719,0.035121198,0.032574511
13505,0.024708559,0.020431094,0.035242297,0.032518147
13870,0.025005312,0.020669413,0.035362717,0.032463041
14235,0.025305808,0.020902778,0.035481726,0.032408993
14600,0.025607051,0.021130552,0.035598772,0.0323559
14965,0.025906742,0.021352302,0.035713452,0.032325537
15330,0.026203132,0.021567757,0.035825474,0.032296852
15695,0.026494909,0.021776768,0.035934639,0.032269
16060,0.026781101,0.021979281,0.03604082,0.032241864
16425,0.027061008,0.022175317,0.036143944,0.032215364
16790,0.027334144,0.02236495,0.036243982,0.032189446
17155,0.027600191,0.022548299,0.03634094,0.032164084
17520,0.027858965,0.022725512,0.03643485,0.032139192
17885,0.028110382,0.022896757,0.036525762,0.032114793
18250,0.028354441,0.023062219,0.036613742,0.032090792
18615,0.028591203,0.023222092,0.036698865,0.03212088
18980,0.028820776,0.023376575,0.036781216,0.032198071
19345,0.029043303,0.02352587,0.036860882,0.032303759
