Date,SX5E Index,TPX Index,UKX Index,IBEX Index,SPX Index,LBEATREU Index,AEX Index,INGGOPC LX Equity,INGEHYC LX Equity,INGEHIH LX Equity,SGEURSE LX Equity,SGIDXIW LX Equity
41820,3228.24,1262.56,6743.94,10923.5,1960.23,225.9118,413.15,335.52,454.97,7880.73,1110.354,1356.46
41819,3227.85,1253.15,6757.77,10959.9,1960.96,225.8234,410.86,335.65,455.21,7888.12,1111.28796,1356.46
41818,3227.85,1253.15,6757.77,10959.9,1960.96,225.8234,410.86,335.65,455.21,7888.12,1111.28796,1356.46
41817,3227.85,1253.15,6757.77,10959.9,1960.96,225.8234,410.86,335.65,455.21,7888.12,1111.28796,1356.46
41816,3233.19,1263.43,6735.12,10989,1957.22,225.9736,410.81,336.42,455.92,7894.45,1112.09094,1356.46
41815,3252.31,1260.83,6733.62,10966.7,1959.53,225.7622,411.93,335.33,457.32,7902.18,1115.71106,1356.46
41814,3284.81,1268.5,6787.07,11105.9,1949.98,225.2345,415.78,335.77,462,7907.71,1126.86304,1356.46
41813,3282.58,1267.48,6800.56,11118.3,1962.61,225.1137,415.59,337.36,462.69,7907.48,1135.19397,1356.46
41812,3302.36,1268.92,6825.2,11155.1,1962.87,224.7891,417.9,338.26,465.48,7906.61,1135.19397,1356.46
41811,3302.36,1268.92,6825.2,11155.1,1962.87,224.7891,417.9,338.26,465.48,7906.61,1135.19397,1356.46
41810,3302.36,1268.92,6825.2,11155.1,1962.87,224.7891,417.9,338.26,465.48,7906.61,1135.19397,1356.46
41809,3314.8,1269.04,6808.11,11187.8,1959.48,225.0944,417.98,336.5,468.46,7903.04,1139.26697,1356.46
41808,3279.2,1249.15,6778.56,11112.3,1956.98,224.511,415.48,336.08,464.61,7893.88,1131.27405,1356.46
41807,3275.33,1238.2,6766.77,11058.5,1941.99,224.375,414.58,335.41,463.57,7889.86,1130.53406,1356.46
41806,3261.42,1234.68,6754.64,11008.2,1937.78,224.9388,412.54,334.75,461.92,7888.89,1125.21997,1356.46
41805,3282.84,1243.97,6777.85,11113.7,1936.16,224.7114,414.05,336.03,465.2,7887.68,1131.48901,1356.46
41804,3282.84,1243.97,6777.85,11113.7,1936.16,224.7114,414.05,336.03,465.2,7887.68,1131.48901,1356.46
41803,3282.84,1243.97,6777.85,11113.7,1936.16,224.7114,414.05,336.03,465.2,7887.68,1131.48901,1356.46
41802,3284.28,1237.75,6843.11,11088.5,1930.11,224.516,414.74,335.25,466.25,7890.75,1134.15906,1356.46
41801,3289.09,1239.07,6838.87,11074.9,1943.89,224.6198,414.45,336.21,466.85,7889.2,1134.38599,1356.46
41800,3313.8,1228.73,6873.55,11153.5,1950.79,224.6232,415.86,335.79,470.73,7892.96,1143.75806,1356.46
41799,3305.26,1234.78,6875,11164.1,1951.27,225.0573,415.46,334.14,471.26,7887.29,1137.33496,1356.46
41798,3294.28,1234.57,6858.21,11064.3,1949.44,224.8545,413.26,332.76,469.37,7873.66,1137.33496,1356.46
41797,3294.28,1234.57,6858.21,11064.3,1949.44,224.8545,413.26,332.76,469.37,7873.66,1137.33496,1356.46
41796,3294.28,1234.57,6858.21,11064.3,1949.44,224.8545,413.26,332.76,469.37,7873.66,1137.33496,1356.46
41795,3267.05,1232.75,6813.49,10876.4,1940.46,223.7819,410.97,331.93,463.69,7855.24,1127.48401,1356.46
41794,3237.93,1233.95,6818.63,10755.6,1927.88,223.2603,408.07,330.41,458.84,7845.7,1118.052,1356.46
41793,3241.04,1228.59,6836.3,10776.7,1924.24,223.469,408.61,330.03,458.36,7846.84,1117.91895,1356.46
41792,3247.8,1220.47,6864.1,10827.4,1924.97,223.8713,408.77,330.37,460.93,7846.71,1122.18506,1356.46
41791,3244.6,1201.41,6844.51,10798.7,1923.57,223.844,407.21,329.29,459.78,7840.86,1119.71497,1356.46
41790,3244.6,1201.41,6844.51,10798.7,1923.57,223.844,407.21,329.29,459.78,7840.86,1119.71497,1356.46
41789,3244.6,1201.41,6844.51,10798.7,1923.57,223.844,407.21,329.29,459.78,7840.86,1119.71497,1356.46
41788,3244.66,1200.68,6871.29,10734.8,1920.03,223.9578,407.44,330.32,459.84,7838.62,1118.79504,1356.46
41787,3246.24,1198.17,6851.22,10757.2,1909.78,224.1301,405.94,329.51,459.67,7839.63,1118.79504,1356.46
41786,3244.28,1195.11,6844.94,10714.2,1911.91,223.5627,406.81,329.52,458.8,7834.89,1117.26501,1356.46
41785,3240.39,1194.69,6815.75,10687.5,1900.53,222.8718,406.88,328.25,458.62,7824.08,1115.05298,1356.46
41784,3203.28,1180.44,6815.75,10558.9,1900.53,222.8718,405.14,328.25,451.92,7819.27,1101.90796,1356.46
41783,3203.28,1180.44,6815.75,10558.9,1900.53,222.8718,405.14,328.25,451.92,7819.27,1101.90796,1356.46
41782,3203.28,1180.44,6815.75,10558.9,1900.53,222.8718,405.14,328.25,451.92,7819.27,1101.90796,1356.46
41781,3187.63,1169.34,6820.56,10520.6,1892.49,222.6174,404.14,326.98,447.67,7817.37,1096.07605,1356.46
41780,3187.08,1150.05,6821.04,10531.4,1888.03,222.4715,402.9,325,445.58,7821.05,1094.46204,1356.46
41779,3163.93,1153.38,6802,10453.8,1872.83,222.4663,400.8,322.88,443.02,7830.48,1087.92896,1356.46
41778,3169.9,1150.07,6844.55,10425.5,1885.08,222.976,401.04,323.9,442.52,7834.12,1087.922,1356.46
41777,3172.72,1159.07,6855.81,10478.7,1877.86,223.2353,399.56,323.64,441.93,7832.08,1085.13696,1356.46
41776,3172.72,1159.07,6855.81,10478.7,1877.86,223.2353,399.56,323.64,441.93,7832.08,1085.13696,1356.46
41775,3172.72,1159.07,6855.81,10478.7,1877.86,223.2353,399.56,323.64,441.93,7832.08,1085.13696,1356.46
41774,3163.22,1178.29,6840.89,10365,1870.85,223.3836,400.25,322.77,441.21,7840.44,1083.61804,1356.46
41773,3210.42,1183.15,6878.49,10613.9,1888.53,223.3796,403.33,324.57,448.11,7841.68,1100.00098,1356.46
41772,3211.78,1178.35,6873.08,10587.2,1897.45,222.8721,404.65,324.36,449.05,7839.64,1101.10901,1356.46
41771,3206.97,1157.91,6851.75,10567,1896.65,222.3919,403.78,322.12,449.87,7830.41,1099.51196,1356.46
41770,3184.09,1165.51,6814.57,10487.2,1878.48,222.5041,401.93,319.83,447.44,7822.85,1089.84204,1356.46
41769,3184.09,1165.51,6814.57,10487.2,1878.48,222.5041,401.93,319.83,447.44,7822.85,1089.84204,1356.46
41768,3184.09,1165.51,6814.57,10487.2,1878.48,222.5041,401.93,319.83,447.44,7822.85,1089.84204,1356.46
41767,3204.3,1160.01,6839.25,10591.2,1875.63,222.5829,402.98,317.27,450.29,7880.89,1095.48999,1356.46
41766,3159.67,1152.01,6796.44,10413.8,1878.21,222.0059,398.59,315.72,444.28,7806.04,1081.15796,1356.46
41765,3149.79,1182.48,6798.56,10481.4,1867.72,222.1604,396.54,316.12,443.18,7804.44,1079.026,1356.46
41764,3171.29,1182.48,6822.42,10477,1884.66,222.0456,397.44,318.53,444.75,7803.48,1084.81396,1356.46
41763,3177.89,1182.48,6822.42,10474.5,1881.14,222.0456,399.23,319.28,445.49,7798.69,1086.42505,1356.46
41762,3177.89,1182.48,6822.42,10474.5,1881.14,222.0456,399.23,319.28,445.49,7798.69,1086.42505,1356.46
41761,3177.89,1182.48,6822.42,10474.5,1881.14,222.0456,399.23,319.28,445.49,7798.69,1086.42505,1356.46
41760,3198.66,1182.2,6808.87,10459,1883.68,221.718,400.55,318.37,446.41,7796.65,1089.63599,1356.46
41759,3198.39,1162.44,6780.03,10459,1883.95,221.6989,400.55,317.91,446.41,7793.79,1089.63599,1356.46
41758,3208.68,1160.74,6769.91,10461,1878.33,221.2833,398.47,318.55,446.51,7789.77,1091.23706,1356.46
