Maturity,TOPX,FTSE,AEX,IBEX,STOXX50E
7,-1.99E-04,0.00997986,3.62E-04,0.002754358,0.037306396
30,2.68E-02,0.030900881,-5.54E-05,0.015414554,0.012723467
60,1.59E-02,0.019645716,-2.81E-06,0.058257908,0.019473939
90,1.43E-02,0.039456489,0.019597712,0.040026318,0.014931502
180,1.55E-02,0.032932096,0.016824252,0.032966954,0.017059894
270,1.50E-02,0.028786383,0.0143151,0.034766917,0.014483179
360,0.016258012,0.033040177,0.02493857,0.03520752,0.032554429
540,0.015000422,0.034009204,0.02235011,0.034141151,0.026150034
720,0.014152419,0.03580016,0.02624032,0.032512126,0.031486834
1080,0.014329194,0.035652552,0.02635545,0.031715549,0.031246083
1440,0.014552232,0.035832867,0.026081087,0.030981299,0.030583069
1800,0.014687127,0.035959567,0.02583134,0.029837735,0.029788286
2520,0.015040427,0.036011308,0.025643392,0.028891729,0.029123381
3600,0.014617589,0.035680649,0.025135159,0.026336935,0.028388423
